,title,id,language,ontologyId,resultType,access,distance,categories,address.label,address.countryCode,address.countryName,address.stateCode,address.state,address.county,address.city,address.district,address.subdistrict,address.postalCode,position.lat,position.lng,address.street,references
10,Basera Apartment,here:pds:place:356tgt5b-12ad7aef84eb9943fea2632c81f02cb4,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.35023, 'lng': 85.8245}]",1085,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Basera Apartment, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,,751024,20.35016,85.82446,,
11,Shuvam Daitari Enclave,here:pds:place:356tgt5b-34a0da1e3eea5dffe53df535b5a42c64,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.36279, 'lng': 85.82209}]",1129,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Shuvam Daitari Enclave, Prasanti Vihar, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,Prasanti Vihar,751024,20.36263,85.82219,,
12,Saptarshi Apartment,here:pds:place:356tgt5c-7d2fa38d3bb146138e58cfe92a4cf4b7,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.35061, 'lng': 85.82558}]",1135,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Saptarshi Apartment, Nandankanan Road, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,,751024,20.3507,85.82527,Nandankanan Road,
13,Panchanan Pradhan Residence,here:pds:place:356tgt5c-37cfbfb8c7d2911a9026f0ba6b716bff,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.34929, 'lng': 85.82598}]",1274,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","Panchanan Pradhan Residence, Kanan Vihar Phase 2, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,Kanan Vihar Phase 2,751024,20.34921,85.82597,,
14,Kautsav Apartment,here:pds:place:356tgt5c-cdbf9b213ef157e901e60a91c3b81266,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.3527, 'lng': 85.82732}]",1275,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Kautsav Apartment, Santi Vihar, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,Santi Vihar,751024,20.35269,85.82732,,
15,North View,here:pds:place:356tgt58-d97ab45b2361437f3ede1e379910e4fd,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.34404, 'lng': 85.81936}]",1323,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","North View, Sishu Vihar, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,Sishu Vihar,751024,20.3435,85.81927,,
16,"Indo Arcade Apartments, Patia Station Road",here:pds:place:356tgt5c-5c3f3f2ecd7d3de5a0534e7e7cce3966,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.35581, 'lng': 85.82916}]",1457,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Indo Arcade Apartments, Patia Station Road, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,,751024,20.35579,85.82924,,
17,Khetrabasi Apartments,here:pds:place:356tgt58-9ce4dab2842a9a688e83b8fc593aba56,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.34341, 'lng': 85.82262}]",1492,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Khetrabasi Apartments, Mahavir Nagar, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,Mahavir Nagar,751024,20.34324,85.82256,,
18,Kalvik East View,here:pds:place:356tgt5c-0e5178045c0c8466fb01d4053b940e0f,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.34797, 'lng': 85.82781}]",1510,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Kalvik East View, Kanan Vihar Phase 2, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,Kanan Vihar Phase 2,751024,20.34801,85.82784,,
19,Mason Pearl,here:pds:place:356tgt5c-f43c6739e44b2cf37a2c5bf27720a057,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.34735, 'lng': 85.82858}]",1613,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Mason Pearl, Ahalya Nagar, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,Ahalya Nagar,751024,20.34716,85.82845,,
20,The Crest,here:pds:place:356tgt5b-90d079ff6deffe932acc9da3826819d4,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.36212, 'lng': 85.80194}]",1617,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","The Crest, Patharagadia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patharagadia,,751024,20.36215,85.80192,,
21,House Rent,here:pds:place:356tgt58-35a79604a72129de90b2bb924638a4b0,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.34009, 'lng': 85.81215}]",1669,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","House Rent, Sailashree Vihar-Saswat Vihar, Chandrasekharpur, Bhubaneswar 751021, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Chandrasekharpur,Sailashree Vihar-Saswat Vihar,751021,20.34007,85.81223,,
22,Subhadra Apartments,here:pds:place:356tgt5c-d4e179eeab1c4ac5bdd64d85e14a068a,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.36252, 'lng': 85.82965}]",1717,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Subhadra Apartments, Subhadra Apartment-Nandan Vihar, Kalarahanga, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Kalarahanga,Subhadra Apartment-Nandan Vihar,751024,20.36242,85.82962,,
23,Sai Rose Apartment,here:pds:place:356tgt5c-58f9856ce2972256e82f81b8d3e1f027,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.36514, 'lng': 85.82777}]",1720,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Sai Rose Apartment, Kalyani Nagar, Raghunathpur Jali, Bhubaneswar 752054, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Raghunathpur Jali,Kalyani Nagar,752054,20.36503,85.82768,,
24,Satyabadi Enclave,here:pds:place:356tgt58-5f7fd4f7ed0d4555b49c22283dd9e7fb,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.34034, 'lng': 85.82121}]",1729,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Satyabadi Enclave, Gayatri Vihar, Chandrasekharpur, Bhubaneswar 751016, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Chandrasekharpur,Gayatri Vihar,751016,20.34027,85.8212,,
25,Manjulata Mansion,here:pds:place:356tgt5c-a53e2a4e11940ef1d65ec022d172f9d7,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.36094, 'lng': 85.83085}]",1769,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Manjulata Mansion, Nandan Vihar, Kalarahanga, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Kalarahanga,Nandan Vihar,751024,20.36109,85.83089,,
26,Apartment,here:pds:place:356tgt5c-2666f6f17dcb0dd2f24a4e6fd996a7d4,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.35125, 'lng': 85.83213}]",1800,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Apartment, Kanan Vihar Phase 2, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,Kanan Vihar Phase 2,751024,20.35125,85.83215,,
27,Trishna Orchid,here:pds:place:356tgt5c-44fecee2372ac17e3cd77c2557803f3f,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.3484, 'lng': 85.8318}]",1845,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Trishna Orchid, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,,751024,20.34848,85.83166,,
28,Kalvik King Palace Apartment,here:pds:place:356tgt59-befda2695bad3b6fb5a0d3675563f25b,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.34251, 'lng': 85.82743}]",1856,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Kalvik King Palace Apartment, Patia Road, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,,751024,20.34253,85.82737,Patia Road,
29,Tulsi Vihar Complex,here:pds:place:356tgt58-b0c7609fd7cfb5b847afb98c9c4e3803,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.33816, 'lng': 85.81424}]",1861,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Tulsi Vihar Complex, Chandrasekharpur, Bhubaneswar 751021, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Chandrasekharpur,,751021,20.33809,85.81422,,
30,Ashiyana Apartment,here:pds:place:356tgt5c-bc02c571609abdcf14b4949dfc8c656d,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.35548, 'lng': 85.83327}]",1874,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Ashiyana Apartment, Goura Vihar, Kalarahanga, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Kalarahanga,Goura Vihar,751024,20.35553,85.83326,,
31,Sonsy Rise,here:pds:place:356tgt5c-036d5507c2798f6e4870e24b34661702,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.35098, 'lng': 85.83276}]",1893,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Sonsy Rise, Kanan Vihar Phase 2, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,Kanan Vihar Phase 2,751024,20.35095,85.83299,,
32,East View,here:pds:place:356tgt5c-283fc663cd9397835c3b6b8abaf1e91f,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.35909, 'lng': 85.8348}]",1927,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","East View, Pravat Villa, Kalarahanga, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Kalarahanga,Pravat Villa,751024,20.35881,85.83328,,
